location_id,state_ut,district,Disease,year,week,Cases,preci,LAI,Temp,Latitude,Longitude
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2013,16,16,0.007145038897,8.0,313.072,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2013,18,44,0.002548878307,7.0,311.956,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2013,47,15,0.294202793,15.0,300.62,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2014,25,19,0.1034736358,13.0,309.17,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2014,31,14,0.03713151105,8.0,304.98,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2014,49,22,0.001506591047,14.0,297.495,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2015,15,100,0.0049414322225,8.0,312.029,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2015,20,23,0.02483848363,6.0,308.93,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2015,22,16,0.1061365377,13.0,309.49,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2015,23,16,0.1061365377,13.0,309.49,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2015,25,55,0.48945949,14.0,306.42,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2016,4,52,0.05755587459,11.0,302.264,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2016,26,75,0.4517175858,13.0,302.2,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2016,31,11,0.8138324845,15.0,304.45,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2016,32,32,0.001476693637,17.0,299.24666659999997,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2016,41,12,0.2775444993,9.0,302.16,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2018,7,42,0.09335975988,11.0,304.23,13.1601048,79.15555062
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2019,25,35,0.01858787331,8.0,310.12,13.1601048,79.15555062
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2010,6,25,0.008943070151,13.0,300.535,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2011,41,55,0.01923500463,18.0,304.14,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2012,28,41,0.8395909477,13.0,305.8,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2012,45,224,1.285813591,19.0,299.28000000000003,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2013,16,30,0.0006611923121,10.0,307.216,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2014,31,110,1.741450456,7.0,300.55,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2015,28,29,0.1025574804,16.0,302.88,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2015,41,182,0.7861790594,9.0,301.65500000000003,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2016,10,10,0.03940526049,12.0,301.7333334,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2016,31,14,1.40035154,9.0,303.11,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2017,1,15,0.0002294354551,25.0,300.392,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2017,36,24,0.3244615379,20.0,300.93,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2017,41,67,0.5780676133,17.0,298.09000000000003,16.99842865,81.71561488
Andhra Pradesh_East Godavari_Acute Diarrhoeal Disease,Andhra Pradesh,East Godavari,Acute Diarrhoeal Disease,2018,6,9,3.28e-05,16.0,302.7833334,16.99842865,81.71561488
Andhra Pradesh_Guntur_Acute Diarrhoeal Disease,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,2010,19,45,0.008228921511,9.0,310.272,16.2915189,80.4541588
Andhra Pradesh_Guntur_Acute Diarrhoeal Disease,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,2018,5,7,0.004933707398,9.0,304.376,16.2915189,80.4541588
Andhra Pradesh_Guntur_Acute Diarrhoeal Disease,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,2018,9,168,8.66e-05,8.0,311.956,16.2915189,80.4541588
Andhra Pradesh_Guntur_Acute Diarrhoeal Disease,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,2018,10,1987,6.73e-05,9.0,311.896,16.2915189,80.4541588
Andhra Pradesh_Guntur_Acute Diarrhoeal Disease,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,2018,13,21,0.009486840579,9.0,311.656,16.2915189,80.4541588
Andhra Pradesh_Guntur_Acute Diarrhoeal Disease,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,2018,15,19,0.01110698313,7.0,311.4833334,16.2915189,80.4541588
Andhra Pradesh_Guntur_Acute Diarrhoeal Disease,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,2018,23,35,0.01701078316,9.0,312.0733334,16.2915189,80.4541588
Andhra Pradesh_Guntur_Acute Diarrhoeal Disease,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,2018,24,53,0.1407849073,5.0,307.76,16.2915189,80.4541588
Andhra Pradesh_Guntur_Acute Diarrhoeal Disease,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,2019,20,23,0.006561507979,5.0,315.024,16.2915189,80.4541588
Andhra Pradesh_Guntur_Acute Diarrhoeal Disease,Andhra Pradesh,Guntur,Acute Diarrhoeal Disease,2019,39,38,1.075276598,9.0,303.1266666,16.2915189,80.4541588
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2009,25,39,0.05305104678,8.0,310.14,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2009,27,18,0.1197721186,9.0,310.12,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2009,28,50,0.2257715142,9.0,308.84000000000003,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2009,51,65,0.007220750371,9.0,302.14,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2010,19,17,0.01198671829,5.0,314.276,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2010,20,18,0.01198671829,5.0,314.276,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2010,21,42,0.02307777675,6.0,316.3933334,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2010,24,39,0.09689869443,6.0,313.3533334,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2010,25,153,0.96984204285,8.0,306.245,14.4752936,78.8216861
Andhra Pradesh_Kadapa_Acute Diarrhoeal Disease,Andhra Pradesh,Kadapa,Acute Diarrhoeal Disease,2010,26,20,0.1611383373,9.0,307.40000000000003,14.4752936,78.8216861
